0|0|220|
1|1|HERBERT MOHAMED|1958-08-31|BACHELOR|0010000.00|
1|2|36|THE ROE AVENUE|
2|1|JAYLEN GEORGE|1969-05-29|ELEMENTARY|0020000.00|
2|2|365|HEATHFIELD ESPLANADE|
3|1|MIKAEEL WEBER|1982-02-17|MASTER|0030000.00|
3|2|4555|MORRISON STRAND|
4|1|APRIL BARRERA|1967-01-12|DOCTOR|0030000.00|
4|2|1311|MARMION PARK|
5|1|ALEEZA PLANT|1985-03-01|BACHELOR|0008000.00|
5|2|3398|VICTORIA GAIT|
6|1|MALAIKA BRAVO|1966-06-22|ELEMENTARY|0002000.00|
6|2|857|STIRLING LEAS|
7|1|KAYLEM PARRY|1988-09-11|MASTER|0032000.00|
7|2|4893|BRAMWELL LANE|
8|1|CORDELIA GILES|1961-01-26|DOCTOR|0041000.00|
8|2|1096|DORSET LINK|
9|1|VIKTORIA SAVAGE|1995-01-22|BACHELOR|0013000.00|
9|2|3168|RIDINGS WAY|
10|1|KAMRAN LYON|1987-05-10|ELEMENTARY|0002000.00|
10|2|3811|WARDS CRESCENT|
11|1|EILIDH HOUGH|1980-10-05|MASTER|0030000.00|
11|2|3042|PRINCESS CLIFF|
12|1|ASHTON MCINTYRE|1989-02-05|DOCTOR|0040000.00|
12|2|3024|NICHOLSON VIEW|
13|1|ZI VALENZUELA|1992-06-05|BACHELOR|0000000.00|
13|2|397|BRUNEL FARM|
14|1|STANISLAW CHUNG|1974-03-17|ELEMENTARY|0002000.00|
14|2|2866|NEWLANDS LOAN|
15|1|TODD BOOTH|1975-12-02|MASTER|0030000.00|
15|2|2625|HOWE NESS|
16|1|LUCIAN NEEDHAM|1958-10-08|DOCTOR|0040000.00|
16|2|1386|MORRIS ESTATE|
17|1|THELMA SHELDON|1978-07-21|BACHELOR|0000000.00|
17|2|3962|CHERRY SPRINGS|
18|1|MANISHA DREW|1989-12-14|ELEMENTARY|0002000.00|
18|2|4631|GREYFRIARS OAK|
19|1|ARCHIBALD HASSAN|1984-07-12|MASTER|0030000.00|
19|2|1012|HADRIAN TOWN|
20|1|ZHANE MUSTAFA|1957-05-21|DOCTOR|0040000.00|
20|2|1589|BLANDFORD CAUSEWAY|
21|1|SUMMER-ROSE SANTOS|1988-01-01|BACHELOR|0000000.00|
21|2|2407|EXMOUTH SQUARE|
22|1|KIE DENNIS|1984-08-20|ELEMENTARY|0002000.00|
22|2|1189|VICTORIA MOUNT|
23|1|ELLIE-MAE DOUGHERTY|1981-04-04|MASTER|0030000.00|
23|2|790|BEECHFIELD RIDGEWAY|
24|1|JAMELIA AMOS|1955-03-26|DOCTOR|0050000.00|
24|2|3334|PALMERSTON CORNER|
25|1|MAEGAN COMBS|1958-03-05|BACHELOR|0000000.00|
25|2|664|LINCOLN HIGHWAY|
26|1|KEALAN WORTHINGTON|1956-04-27|ELEMENTARY|0002000.00|
26|2|4671|ARMSTRONG ORCHARD|
27|1|SAMUEL RYAN|1964-01-31|MASTER|0030000.00|
27|2|1888|CARDINAL OAK|
28|1|MERRYN BARRERA|1988-10-07|DOCTOR|0040000.00|
28|2|1672|OAKHILL STREET|
29|1|JEFF MARTINS|1957-03-28|BACHELOR|0000000.00|
29|2|3836|HARCOURT FIRS|
30|1|CHARMAINE KENNEDY|1957-09-06|ELEMENTARY|0002000.00|
30|2|3092|GREAT DRIFT|
31|1|CONSTANCE GOOD|1956-03-11|MASTER|0030000.00|
31|2|3094|PRINCE OF WALES CROFT|
32|1|KYA CISNEROS|1985-10-15|DOCTOR|0050000.00|
32|2|704|PEAKIRK ROAD|
33|1|CHRISTY FORBES|1965-04-01|BACHELOR|0000000.00|
33|2|1615|LABURNUM ORCHARDS|
34|1|JAYNE PHILIP|1992-04-02|ELEMENTARY|0002000.00|
34|2|4892|SWAINSFIELD ROAD|
35|1|YARA BENJAMIN|1983-10-13|MASTER|0030000.00|
35|2|4882|HEXHAM QUAY|
